,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7,Total8,Total9,Total10,Total11,Total12,Total13,Total14,Total15,Total16,Total17
4399,staff,19.0,0.0,3.0,3.0,4.0,0.0,46.0,57.0,4.0,7.0,3.0,3.0,28.0,4.0,0.0,4.0,3.0,4.0
4400,staffed,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4401,staffin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4402,stages,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4403,stand,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0
4404,standard,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
4405,standards,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4406,standing,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
4407,starred,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
4408,start,39.0,0.0,7.0,8.0,7.0,0.0,0.0,8.0,7.0,1.0,7.0,7.0,5.0,7.0,0.0,7.0,7.0,7.0
4409,started,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
4410,starter,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
4411,starting,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
4412,starts,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0
4413,state,16.0,0.0,32.0,32.0,32.0,0.0,24.0,11.0,32.0,33.0,33.0,32.0,38.0,32.0,0.0,32.0,32.0,32.0
4414,statement,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,3.0,44.0,3.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0
4415,statementisnotterminated,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0
4416,states,3.0,0.0,12.0,12.0,12.0,0.0,8.0,4.0,12.0,5.0,12.0,12.0,2.0,12.0,0.0,12.0,12.0,12.0
4417,statewide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
4418,stating,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4419,station,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4420,statistically,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4421,statistics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
4422,status,0.0,0.0,5.0,5.0,5.0,0.0,0.0,2.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0
4423,stay,5.0,0.0,8.0,9.0,8.0,0.0,1.0,0.0,8.0,0.0,8.0,8.0,3.0,8.0,0.0,8.0,10.0,8.0
4424,staying,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
4425,std,1.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,11.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0,11.0,11.0
4426,stds,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
4427,steadfast,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4428,stemi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4429,step,1.0,0.0,1.0,2.0,1.0,0.0,6.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0
4430,steps,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0
4431,sterile,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
