,index,Total
819,communicationen,3.0
820,communications,16.0
821,communicationsyou,1.0
822,communities,6.0
823,community,19.0
824,community-based,1.0
825,companies,1.0
826,companion,1.0
827,company,6.0
828,compare,4.0
829,compassionate,1.0
830,compensation,1.0
831,competent,2.0
832,competitive,1.0
833,complain,1.0
834,complaint,3.0
835,complemented,1.0
836,complete,14.0
837,completed,3.0
838,completeness,1.0
839,completing,2.0
840,compliance,5.0
841,comply,3.0
842,complying,2.0
843,components,3.0
844,compose,4.0
845,comprehensive,31.0
846,comprised,2.0
847,compromised,1.0
848,computer,8.0
849,concat,1.0
850,concern,1.0
851,concerning,1.0
852,concerts,2.0
853,concrete,2.0
854,condemns,1.0
855,conditionprovide,1.0
856,conditions,7.0
857,condolences,3.0
858,condom,30.0
859,condoms,18.0
860,conduct,3.0
861,condón,15.0
862,coney,2.0
863,conference,95.0
864,conferencesex,39.0
865,conferencesfinanceapplyassociate,3.0
866,conferencesfinanceoffice,3.0
867,conferencesnyc,3.0
868,conferencethe,1.0
869,confident,1.0
870,confidential,30.0
871,confidentiality,6.0
872,confirmation,6.0
873,conflicts,1.0
874,confront,6.0
875,confuse,3.0
876,congregational,1.0
877,congress,12.0
878,congressional,3.0
879,connect,8.0
880,connected,5.0
881,connecting,1.0
882,connection,24.0
883,consent,44.0
884,consequential,2.0
885,consider,6.0
886,consideration,6.0
887,considered,3.0
888,considering,3.0
889,consistently,2.0
890,consolidate,1.0
891,consolidated,3.0
892,const,70.0
893,constituents,1.0
894,constitute,4.0
895,constitutes,1.0
896,constitutional,4.0
897,constraints,1.0
898,consult,2.0
899,consultation,2.0
900,consultations,6.0
901,consumer,1.0
902,contact,274.0
903,contacted,2.0
904,contacting,2.0
905,contacts,1.0
906,contain,8.0
907,contained,1.0
908,contains,5.0
909,content,42.0
910,contents,6.0
911,context,1.0
912,contextbrand,1.0
913,contextid,1.0
914,contextmenu,3.0
915,continue,13.0
916,continued,1.0
917,continues,1.0
918,continuous,12.0
919,contra,2.0
920,contraception,68.0
921,contraception/plan,2.0
922,contraceptionbedsider,1.0
923,contraceptioncome,2.0
924,contraceptive,12.0
925,contract,2.0
926,contracted,3.0
927,contribute,1.0
928,contribution,20.0
929,contributions,9.0
930,contributor,2.0
931,contributors,3.0
932,control,225.0
933,controlarnos,3.0
934,controlreproductive,3.0
935,controls,1.0
936,controversies,1.0
937,convenience,2.0
938,convenient,4.0
939,conversation,2.0
940,conversations,2.0
941,cookie,19.0
942,cookiebanner,3.0
943,cookiedomain,1.0
944,cookiename,5.0
945,cookies,6.0
946,cool,1.0
947,cooperate,1.0
948,coordinate,3.0
949,coordinator,1.0
950,coordinators,5.0
951,copay,3.0
952,copies,4.0
953,copper,10.0
954,copy,24.0
955,copycat,6.0
956,copying,3.0
957,copyright,8.0
958,core,1.0
959,corinna,1.0
960,corners,3.0
961,coronavirus,1.0
962,corporate,3.0
963,correct,13.0
964,corrections,1.0
965,correctly,3.0
966,correspondence,1.0
967,corresponding,9.0
968,corruption,1.0
969,cost,16.0
970,cost-based,2.0
971,costs,6.0
972,could,15.0
973,couldn't,42.0
974,council,3.0
