,index,Total
1046,fatherhood,1.0
1047,fda,1.0
1048,fear,9.0
1049,fears,3.0
1050,featured,2.0
1051,features,2.0
1052,federated,1.0
1053,federation,2.0
1054,feel,22.0
1055,feeling,14.0
1056,feelings,2.0
1057,felt,39.0
1058,female,4.0
1059,females,1.0
1060,fencing,1.0
1061,fertilization,2.0
1062,fertilized,3.0
1063,fetal,12.0
1064,fetus,2.0
1065,few,8.0
1066,field,6.0
1067,fields,19.0
1068,figcaption,20.0
1069,fight,1.0
1070,figure,1.0
1071,figured,1.0
1072,file,30.0
1073,files,3.0
1074,fill,17.0
1075,final,3.0
1076,finally,1.0
1077,finance,1.0
1078,financial,36.0
1079,financially,1.0
1080,find,43.0
1081,finding,1.0
1082,fire,1.0
1083,first,171.0
1084,first-morning,1.0
1085,first-trimester,1.0
1086,fists,1.0
1087,fit,6.0
1088,fitness,1.0
1089,five,1.0
1090,fix,32.0
1091,fjordane,1.0
1092,fjs,1.0
1093,fl,3.0
1094,flapping,1.0
1095,flash,2.0
1096,flat,1.0
1097,floor,21.0
1098,flora,1.0
1099,florida,3.0
1100,fluctuating,1.0
1101,focus,1.0
1102,focused,2.0
1103,follow,3.0
1104,following,59.0
1105,food,14.0
1106,forces,3.0
1107,forego,1.0
1108,forest,46.0
1109,forgive,1.0
1110,forgiven,2.0
1111,fork,1.0
1112,form,28.0
1113,formal,1.0
1114,former,1.0
1115,forth,5.0
1116,forum,6.0
1117,forums,3.0
1118,forward,1.0
1119,found,3.0
1120,foundation,1.0
1121,foundational,1.0
1122,founded,1.0
1123,four,1.0
1124,fourth,1.0
1125,fragile,1.0
1126,francisco,1.0
1127,frank,2.0
1128,free,164.0
1129,freedom,1.0
1130,freely,1.0
1131,frequently,1.0
1132,fresh,1.0
1133,friend,1.0
1134,friends,1.0
1135,friendships,1.0
1136,fuck,8.0
1137,fucking,2.0
1138,fucks,1.0
1139,fulfilling,1.0
1140,full,6.0
1141,fully,6.0
1142,fully-informed,4.0
1143,fun,2.0
1144,function,46.0
1145,funded,1.0
1146,fundraising,1.0
1147,funds,2.0
1148,furnishings,1.0
1149,furniture,1.0
1150,further,2.0
1151,future,7.0
1152,ga,2.0
1153,gain,2.0
1154,garden,13.0
1155,gas,1.0
1156,gel,2.0
1157,gender,1.0
1158,general,24.0
1159,generalized,1.0
1160,generosity,1.0
1161,genital,3.0
1162,gentle,1.0
1163,georgia,2.0
1164,gestational,4.0
1165,get,69.0
1166,getchell,2.0
1167,getting,7.0
1168,girl,2.0
1169,girlfriend,1.0
1170,girls,9.0
1171,give,15.0
1172,given,23.0
1173,gives,2.0
1174,giving,1.0
1175,glanced,1.0
1176,global,1.0
1177,gloss,1.0
1178,gloucester,1.0
1179,gnaw,1.0
1180,gnu,16.0
1181,go,10.0
1182,god,3.0
1183,going,8.0
1184,golf,1.0
